ListingId,ListPrice,ClosePrice,CloseDate,DaysOnMarket,PropertyType,BedroomsTotal,BathroomsTotalInteger,LivingArea,LotSizeSquareFeet,YearBuilt,GarageSpaces,PoolPrivateYN,City,StateOrProvince,PostalCode,StandardStatus,Latitude,Longitude
CMA-001,525000,520000,2025-12-25,15,Residential,3,2,1850,7500,2018,2,False,Denver,CO,80202,Closed,39.7392,-104.9903
CMA-002,495000,490000,2025-12-10,22,Residential,3,2,1720,6800,2015,2,False,Denver,CO,80202,Closed,39.7385,-104.989
CMA-003,545000,540000,2025-11-25,18,Residential,4,2,1950,8000,2019,2,True,Denver,CO,80202,Closed,39.74,-104.988
CMA-004,475000,472000,2025-10-26,28,Residential,3,2,1680,6500,2014,1,False,Denver,CO,80202,Closed,39.7378,-104.9915
CMA-005,560000,555000,2026-01-04,10,Residential,3,3,2000,8500,2020,2,False,Denver,CO,80202,Closed,39.741,-104.987
CMA-006,510000,505000,2025-11-15,20,Residential,3,2,1780,7200,2017,2,False,Denver,CO,80202,Closed,39.7388,-104.9895
CMA-007,530000,525000,2025-12-01,16,Residential,3,2,1820,7400,2018,2,False,Denver,CO,80202,Closed,39.7395,-104.99
CMA-008,485000,480000,2025-11-10,25,Residential,3,2,1700,6700,2016,2,False,Denver,CO,80202,Closed,39.738,-104.9905
CMA-009,540000,535000,2025-12-20,12,Residential,4,2,1900,7800,2019,2,False,Denver,CO,80202,Closed,39.7405,-104.9885
CMA-010,500000,495000,2025-11-05,21,Residential,3,2,1750,7000,2017,2,False,Denver,CO,80202,Closed,39.7382,-104.9892
CMA-011,565000,560000,2025-12-15,14,Residential,4,3,2050,8200,2020,2,True,Denver,CO,80202,Closed,39.7415,-104.988
CMA-012,470000,465000,2025-10-15,30,Residential,3,2,1650,6400,2013,1,False,Denver,CO,80202,Closed,39.7375,-104.992
CMA-013,520000,515000,2025-11-20,19,Residential,3,2,1800,7300,2018,2,False,Denver,CO,80202,Closed,39.739,-104.9888
CMA-014,555000,550000,2025-12-05,13,Residential,3,3,1980,8100,2019,2,False,Denver,CO,80202,Closed,39.7408,-104.9878
CMA-015,490000,485000,2025-10-30,24,Residential,3,2,1710,6600,2016,2,False,Denver,CO,80202,Closed,39.7377,-104.991
CMA-016,535000,530000,2025-11-25,17,Residential,4,2,1870,7600,2018,2,False,Denver,CO,80202,Closed,39.7398,-104.9895
CMA-017,505000,500000,2025-10-20,23,Residential,3,2,1760,7100,2017,2,False,Denver,CO,80202,Closed,39.7385,-104.9898
CMA-018,550000,545000,2025-12-10,15,Residential,3,2,1920,7900,2019,2,True,Denver,CO,80202,Closed,39.7402,-104.9882
CMA-019,480000,475000,2025-10-05,27,Residential,3,2,1690,6550,2015,1,False,Denver,CO,80202,Closed,39.7373,-104.9918
CMA-020,525000,520000,2025-11-30,18,Residential,3,2,1840,7450,2018,2,False,Denver,CO,80202,Closed,39.7393,-104.9893
